cruise_type,cruise_type_text,cruise_number,cast_number,decy,time,latitude,longitude,filename,Id,depth,niskin_number,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Chl,Phae,p18,p19,p20,p21,Temp,CTD_S,Sal1,SigTh,O2,OxFix,Anom1,CO2,Alk,NO31,NO21,PO41,Si1,POC,PON,TOC,TN,Bact,POP,TDP,SRP,BSi,LSi,Pro,Syn,Piceu,Naneu,NO3,NO2,PO4,Si,Pres
unitless,unitless,unitless,unitless,year,UTC,degrees_north,degrees_east,unitless,unitless,m,unitless,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,nanograms per kilogram,micrograms per kilogram,microgram per kilogram,nanogram per kilogram,nanogram per kilogram,nanogram per kilogram,unitless,ndegrees Celsius,PSS-78,PSS-78,kilogram per meter cubed,micromole per kilogram,degrees Celsius,micromole per kilogram,micromole per kilogram,uequiv,micromole per kilogram,micromole per kilogram,micromole per kilogram,micromole per kilogram,microgram per kilogram,microgram per kilogram,micromole per kilogram,micromole per kilogram,cells x 10^8/kg,micromole per kilogram,nanomole per kilogram,,micromole per kilogram,micromole per kilogram,cells per mililiter,cells per mililiter,cells per mililiter,cells per mililiter,micromole per kilogram,micromole per kilogram,micromole per kilogram,micromole per kilogram,decibar
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400501,599.6,01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.602,36.091,NaN,26.705,178.2,16.4,-64.7,NaN,NaN,9.61,NaN,0.53,4.12,4.49,1.43,45.9,12.3,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400502,700.9,02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.884,35.826,NaN,26.877,165.9,15.1,-85.9,NaN,NaN,13.09,NaN,0.77,6.04,3.3,1.22,44.4,16.4,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400503,800.4,03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.668,35.51,35.51,27.074,150.5,13.4,-113.7,NaN,NaN,17.96,NaN,1.11,9.76,2.87,1.0,43.1,19.8,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400504,899.9,04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.213,35.232,35.231,27.287,151.9,11.6,-127.3,NaN,NaN,18.15,NaN,1.19,11.43,4.13,2.03,42.7,26.3,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400505,1000.0,05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.368,35.127,35.127,27.486,177.5,10.0,-113.7,NaN,NaN,20.52,NaN,1.34,14.34,2.93,1.47,NaN,25.8,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400506,1099.9,06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.367,35.102,35.102,27.603,197.7,9.5,-100.4,NaN,NaN,19.99,NaN,1.32,14.72,NaN,NaN,NaN,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400507,1201.4,07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.687,35.084,NaN,27.675,222.7,9.4,-80.3,NaN,NaN,17.35,NaN,1.19,12.85,NaN,NaN,NaN,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400508,1300.9,08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2,35.068,35.067,27.722,236.8,8.9,-69.7,NaN,NaN,17.07,NaN,1.17,12.79,NaN,NaN,NaN,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400509,1400.6,09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.842,35.045,35.043,27.746,245.3,8.8,-63.9,NaN,NaN,16.8,NaN,1.13,12.74,NaN,NaN,43.4,20.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400510,1599.0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.508,35.034,35.033,27.777,250.8,8.8,-61.0,NaN,NaN,16.59,NaN,1.13,13.38,NaN,NaN,NaN,NaN,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400511,1799.1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.028,34.995,34.994,27.798,258.8,8.6,-56.7,NaN,NaN,15.97,NaN,1.11,13.78,NaN,NaN,42.4,21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400512,2000.1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.705,34.966,34.967,27.809,263.3,8.6,-54.8,NaN,NaN,16.04,NaN,1.12,14.83,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400513,2200.3,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.496,34.96,34.961,27.827,263.9,8.6,-55.8,NaN,NaN,15.38,NaN,1.09,15.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400514,2400.2,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.308,34.953,34.953,27.842,264.0,8.1,-57.2,NaN,NaN,16.06,NaN,1.14,18.07,NaN,NaN,41.4,20.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400515,2600.6,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.15,34.947,34.947,27.853,263.9,7.8,-58.6,NaN,NaN,15.6,NaN,1.12,18.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400517,3000.6,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.74,34.926,NaN,27.876,264.2,7.7,-61.7,NaN,NaN,15.97,NaN,1.14,22.1,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400516,3001.3,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.742,34.926,34.926,27.876,266.4,7.9,-59.4,NaN,NaN,16.1,NaN,1.15,19.82,NaN,NaN,NaN,21.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400518,3400.2,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.405,34.905,34.906,27.891,268.3,7.8,-60.4,NaN,NaN,16.19,NaN,1.16,26.22,NaN,NaN,43.0,21.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400519,3800.6,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.26,34.892,34.892,27.896,266.2,7.0,-63.8,NaN,NaN,16.73,NaN,1.22,31.06,NaN,NaN,NaN,22.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400520,4000.8,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.219,34.886,34.887,27.896,264.2,6.8,-66.0,NaN,NaN,17.03,NaN,1.26,33.17,NaN,NaN,41.6,22.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400521,4200.9,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.211,34.883,34.883,27.897,263.0,6.8,-67.3,NaN,NaN,17.28,NaN,1.28,34.7,NaN,NaN,42.4,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,BATS_core,0314,005,2015.36071,2015-05-12T15:51:00Z,31.67,-64.163,bats_bottle.txt,1031400522,4535.2,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.232,34.88,34.881,27.896,261.2,7.1,-69.0,NaN,NaN,17.49,NaN,1.3,36.12,NaN,NaN,40.8,22.7,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
